city,Department,Region,Pop. 2013census,Rank,civ
Saint-Maur-des-Fossés,Val-de-Marne,Île-de-France,74133,65,france
Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,73325,66,france
Calais,Pas-de-Calais,Hauts-de-France,72520,67,france
Saint-Nazaire,Loire-Atlantique,Pays de la Loire,68513,68,france
Mérignac,Gironde,Nouvelle-Aquitaine,68386,69,france
Drancy,Seine-Saint-Denis,Île-de-France,68241,70,france
Colmar,Haut-Rhin,Grand Est,67956,71,france
Ajaccio,Corse-du-Sud,Corsica,67507,72,france
Bourges,Cher,Centre-Val de Loire,67189,73,france
Issy-les-Moulineaux,Hauts-de-Seine,Île-de-France,65662,74,france
Levallois-Perret,Hauts-de-Seine,Île-de-France,65264,75,france
La Seyne-sur-Mer,Var,Provence-Alpes-Côte d'Azur,64523,76,france
Quimper,Finistère,Brittany,63532,77,france
Noisy-le-Grand,Seine-Saint-Denis,Île-de-France,62834,78,france
Villeneuve-d'Ascq,Nord,Hauts-de-France,62616,79,france
Neuilly-sur-Seine,Hauts-de-Seine,Île-de-France,62346,80,france
Valence,Drôme,Auvergne-Rhône-Alpes,61767,81,france
Antony,Hauts-de-Seine,Île-de-France,61727,82,france
Cergy,Val-d'Oise,Île-de-France,61708,83,france
Vénissieux,Rhône,Auvergne-Rhône-Alpes,61636,84,france
Pessac,Gironde,Nouvelle-Aquitaine,60763,85,france
Troyes,Aube,Grand Est,59671,86,france
Clichy,Hauts-de-Seine,Île-de-France,59255,87,france
Ivry-sur-Seine,Val-de-Marne,Île-de-France,58933,88,france
Chambéry,Savoie,Auvergne-Rhône-Alpes,58653,89,france
Lorient,Morbihan,Brittany,57961,90,france
Les Abymes,Guadeloupe,Guadeloupe,57960,91,france
Montauban,Tarn-et-Garonne,Occitanie,57921,92,france
Sarcelles,Val-d'Oise,Île-de-France,57533,93,france
Niort,Deux-Sèvres,Nouvelle-Aquitaine,57393,94,france
Villejuif,Val-de-Marne,Île-de-France,57184,95,france
Saint-André,Réunion,Réunion,56156,96,france
Hyères,Var,Provence-Alpes-Côte d'Azur,55713,97,france
Saint-Quentin,Aisne,Hauts-de-France,55698,98,france
Beauvais,Oise,Hauts-de-France,55252,99,france
Épinay-sur-Seine,Seine-Saint-Denis,Île-de-France,54857,100,france
Cayenne,Guyane,French Guiana,54709,101,france
Maisons-Alfort,Val-de-Marne,Île-de-France,54470,102,france
Cholet,Maine-et-Loire,Pays de la Loire,53890,103,france
Meaux,Seine-et-Marne,Île-de-France,53766,104,france
Chelles,Seine-et-Marne,Île-de-France,53569,105,france
Pantin,Seine-Saint-Denis,Île-de-France,53471,106,france
Évry,Essonne,Île-de-France,53237,107,france
Fontenay-sous-Bois,Val-de-Marne,Île-de-France,53124,108,france
Fréjus,Var,Provence-Alpes-Côte d'Azur,53039,109,france
Vannes,Morbihan,Brittany,53032,110,france
Bondy,Seine-Saint-Denis,Île-de-France,52865,111,france
Le Blanc-Mesnil,Seine-Saint-Denis,Île-de-France,52797,112,france
La Roche-sur-Yon,Vendée,Pays de la Loire,52732,113,france
Saint-Louis,Réunion,Réunion,52656,114,france
Arles,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,52566,115,france
Clamart,Hauts-de-Seine,Île-de-France,52203,116,france
Narbonne,Aude,Occitanie,52082,117,france
Annecy,Haute-Savoie,Auvergne-Rhône-Alpes,52029,118,france
Sartrouville,Yvelines,Île-de-France,51599,119,france
Grasse,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,50916,120,france
Laval,Mayenne,Pays de la Loire,50479,121,france
Belfort,Territoire de Belfort,Bourgogne-Franche-Comté,50196,122,france
Bobigny,Seine-Saint-Denis,Île-de-France,49802,123,france
Évreux,Eure,Normandy,49722,124,france
Vincennes,Val-de-Marne,Île-de-France,49695,125,france
