Rank,city,Russian,Federal subject,civ,Population,,Change
,,,,,2021 Census[1],2010 Census[2],
145,Pervouralsk,????????????, Sverdlovsk Oblast,Ural,114450,124528,?8.09%
177,Serov,?????, Sverdlovsk Oblast,Ural,94211,99373,?5.19%
206,Novouralsk,???????????, Sverdlovsk Oblast,Ural,78479,85522,?8.24%
222,Verkhnyaya Pyshma,??????? ?????, Sverdlovsk Oblast,Ural,71335,59749,19.39%
265,Revda,?????, Sverdlovsk Oblast,Ural,60200,61875,?2.71%
267,Beryozovsky,???????????, Sverdlovsk Oblast,Ural,59698,51651,15.58%
276,Asbest,??????, Sverdlovsk Oblast,Ural,57317,68893,?16.80%
286,Krasnoturyinsk,??????????????, Sverdlovsk Oblast,Ural,55875,59633,?6.30%
293,Polevskoy,?????????, Sverdlovsk Oblast,Ural,55182,64220,?14.07%
18,Tyumen,??????, Tyumen Oblast,Ural,847488,581907,45.64%
167,Tobolsk,????????, Tyumen Oblast,Ural,100352,99694,0.66%
234,Ishim,????, Tyumen Oblast,Ural,67614,65243,3.63%
156,Novy Urengoy,????? ???????, Yamalo-Nenets Autonomous Okrug,Ural,107251,104107,3.02%
168,Noyabrsk,????????, Yamalo-Nenets Autonomous Okrug,Ural,100188,110620,?9.43%
37,Cheboksary,?????????, Chuvash Republic,Volga,497807,453721,9.72%
139,Novocheboksarsk,??????????????, Chuvash Republic,Volga,120375,124097,?3.00%
42,Kirov,?????, Kirov Oblast,Volga,468212,473695,?1.16%
235,Kirovo-Chepetsk,??????-??????, Kirov Oblast,Volga,66651,80921,?17.63%
69,Yoshkar-Ola,??????-???, Mari El Republic,Volga,281248,248782,13.05%
302,Volzhsk,??????, Mari El Republic,Volga,53013,55659,?4.75%
6,Nizhny Novgorod,?????? ????????, Nizhny Novgorod Oblast,Volga,1228199,1250619,?1.79%
92,Dzerzhinsk,?????????, Nizhny Novgorod Oblast,Volga,218630,240742,?9.18%
159,Arzamas,???????, Nizhny Novgorod Oblast,Volga,104908,106362,?1.37%
178,Sarov,?????, Nizhny Novgorod Oblast,Volga,93357,92047,1.42%
208,Bor,???, Nizhny Novgorod Oblast,Volga,78372,78058,0.40%
248,Kstovo,??????, Nizhny Novgorod Oblast,Volga,63646,66657,?4.52%
278,Pavlovo,???????, Nizhny Novgorod Oblast,Volga,57116,60698,?5.90%
32,Orenburg,????????, Orenburg Oblast,Volga,543654,548331,?0.85%
94,Orsk,????, Orenburg Oblast,Volga,189195,239800,?21.10%
187,Buzuluk,???????, Orenburg Oblast,Volga,88341,82904,6.56%
211,Novotroitsk,??????????, Orenburg Oblast,Volga,75960,98173,?22.63%
36,Penza,?????, Penza Oblast,Volga,501109,517311,?3.13%
207,Kuznetsk,???????, Penza Oblast,Volga,78390,88839,?11.76%
270,Zarechny,????????, Penza Oblast,Volga,58510,63601,?8.00%
15,Perm,?????, Perm Krai,Volga,1034002,991162,4.32%
123,Berezniki,?????????, Perm Krai,Volga,138069,156466,?11.76%
183,Solikamsk,?????????, Perm Krai,Volga,89473,97384,?8.12%
213,Chaykovsky,??????????, Perm Krai,Volga,75837,82895,?8.51%
254,Kungur,??????, Perm Krai,Volga,62673,66074,?5.15%
300,Lysva,??????, Perm Krai,Volga,53855,65918,?18.30%
10,Ufa,???, Republic of Bashkortostan,Volga,1144809,1062319,7.77%
70,Sterlitamak,???????????, Republic of Bashkortostan,Volga,277410,273486,1.43%
116,Salavat,???????, Republic of Bashkortostan,Volga,148575,156095,?4.82%
128,Neftekamsk,??????????, Republic of Bashkortostan,Volga,131942,121733,8.39%
143,Oktyabrsky,???????????, Republic of Bashkortostan,Volga,115557,109474,5.56%
231,Tuymazy,???????, Republic of Bashkortostan,Volga,68349,66836,2.26%
242,Beloretsk,????????, Republic of Bashkortostan,Volga,64525,68806,?6.22%
245,Ishimbay,???????, Republic of Bashkortostan,Volga,64041,66259,?3.35%
268,Belebey,???????, Republic of Bashkortostan,Volga,59195,60188,?1.65%
272,Kumertau,????????, Republic of Bashkortostan,Volga,57949,62851,?7.80%
281,Sibay,?????, Republic of Bashkortostan,Volga,56514,62763,?9.96%
282,Meleuz,??????, Republic of Bashkortostan,Volga,56505,61390,?7.96%
61,Saransk,???????, Republic of Mordovia,Volga,314871,297415,5.87%
5,Kazan,??????, Republic of Tatarstan,Volga,1308660,1143535,14.44%
30,Naberezhnye Chelny,?????????? ?????, Republic of Tatarstan,Volga,548434,513193,6.87%
79,Nizhnekamsk,??????????, Republic of Tatarstan,Volga,241479,234044,3.18%
111,Almetyevsk,???????????, Republic of Tatarstan,Volga,163512,146393,11.69%
170,Zelenodolsk,????????????, Republic of Tatarstan,Volga,99137,97674,1.50%
200,Bugulma,????????, Republic of Tatarstan,Volga,81677,89204,?8.44%
218,Yelabuga,???????, Republic of Tatarstan,Volga,73630,70728,4.10%
259,Leninogorsk,???????????, Republic of Tatarstan,Volga,60993,64127,?4.89%
269,Chistopol,?????????, Republic of Tatarstan,Volga,58815,60755,?3.19%
9,Samara,??????, Samara Oblast,Volga,1173299,1164685,0.74%
19,Tolyatti,????????, Samara Oblast,Volga,684709,719632,?4.85%
107,Syzran,???????, Samara Oblast,Volga,165725,178750,?7.29%
171,Novokuybyshevsk,??????????????, Samara Oblast,Volga,98306,108438,?9.34%
226,Chapayevsk,????????, Samara Oblast,Volga,70228,72692,?3.39%
309,Zhigulyovsk,?????????, Samara Oblast,Volga,50466,55565,?9.18%
17,Saratov,???????, Saratov Oblast,Volga,901361,837900,7.57%
85,Engels,???????, Saratov Oblast,Volga,225428,202419,11.37%
98,Balakovo,????????, Saratov Oblast,Volga,184466,199690,?7.62%
217,Balashov,???????, Saratov Oblast,Volga,74057,82227,?9.94%
296,Volsk,??????, Saratov Oblast,Volga,55035,66508,?17.25%
21,Izhevsk,??????, Udmurt Republic,Volga,623472,627734,?0.68%
172,Votkinsk,????????, Udmurt Republic,Volga,97471,99022,?1.57%
180,Sarapul,???????, Udmurt Republic,Volga,91115,101381,?10.13%
188,Glazov,??????, Udmurt Republic,Volga,87762,95854,?8.44%
24,Ulyanovsk,?????????, Ulyanovsk Oblast,Volga,617352,614786,0.42%
150,Dimitrovgrad,????????????, Ulyanovsk Oblast,Volga,110968,122580,?9.47%
